Family,Count,Sum,Mean,SD,Median,Max,Min
Thermoactinomycetaceae,3,1836,612,493.409566182092,688,1063,85
Clostridiales,4,1813,453.25,431.217945668622,366,1054,27
Desulfarculaceae,2,1764,882,366.281312654632,882,1141,623
Propionibacteriaceae,2,1603,801.5,579.120453791782,801.5,1211,392
Bacteriovoracaceae,1,1520,1520,0,1520,1520,1520
Kineosporiaceae,2,1518,759,41.0121933088198,759,788,730
Syntrophaceae,1,1454,1454,0,1454,1454,1454
Crocinitomicaceae,1,1445,1445,0,1445,1445,1445
Bacillales,1,1406,1406,0,1406,1406,1406
Hydrogenothermaceae,1,1368,1368,0,1368,1368,1368
Ruaniaceae,1,1244,1244,0,1244,1244,1244
Fimbriimonadaceae,1,1242,1242,0,1242,1242,1242
Sandaracinaceae,1,1149,1149,0,1149,1149,1149
Chitinispirillaceae,1,1101,1101,0,1101,1101,1101
Methylacidiphilaceae,1,1068,1068,0,1068,1068,1068
Williamsiaceae,1,1050,1050,0,1050,1050,1050
Nakamurellaceae,1,977,977,0,977,977,977
Actinopolysporaceae,1,942,942,0,942,942,942
Vulgatibacteraceae,1,942,942,0,942,942,942
Halobacteroidaceae,3,840,280,289.314707541805,119,614,107
Segniliparaceae,1,837,837,0,837,837,837
Solibacteraceae,1,824,824,0,824,824,824
Nitriliruptoraceae,1,806,806,0,806,806,806
Thiotrichaceae,3,712,237.333333333333,33.7243729865113,222,276,214
Dehalococcoidaceae,1,527,527,0,527,527,527
Sporichthyaceae,1,504,504,0,504,504,504
Jiangellaceae,1,495,495,0,495,495,495
Oleiphilaceae,1,463,463,0,463,463,463
Kosmotogaceae,2,453,226.5,38.8908729652601,226.5,254,199
Symbiobacteriaceae,1,450,450,0,450,450,450
Schleiferiaceae,1,403,403,0,403,403,403
Lentimicrobiaceae,1,396,396,0,396,396,396
Verrucomicrobia,1,378,378,0,378,378,378
Porticoccaceae,1,369,369,0,369,369,369
Haloplasmataceae,1,349,349,0,349,349,349
Magnetococcaceae,1,346,346,0,346,346,346
Caldisericaceae,1,344,344,0,344,344,344
Methylothermaceae,1,342,342,0,342,342,342
Desulfurellaceae,1,340,340,0,340,340,340
Acidaminococcaceae,2,336,168,45.254833995939,168,200,136
Desulfomicrobiaceae,1,303,303,0,303,303,303
Syntrophobacteraceae,1,280,280,0,280,280,280
Kordiimonadaceae,1,278,278,0,278,278,278
Criblamydiaceae,1,249,249,0,249,249,249
Saccharospirillaceae,2,247,123.5,81.317279836453,123.5,181,66
Halobacteriovoraceae,1,240,240,0,240,240,240
Fibrobacteraceae,1,225,225,0,225,225,225
Lentisphaeraceae,1,199,199,0,199,199,199
Ventosimonadaceae,1,195,195,0,195,195,195
Cryomorphaceae,1,193,193,0,193,193,193
Gallionellaceae,1,163,163,0,163,163,163
Thermodesulfobiaceae,1,156,156,0,156,156,156
Amoebophilaceae,1,150,150,0,150,150,150
Heliobacteriaceae,1,111,111,0,111,111,111
Mycobacteriaceae,1,98,98,0,98,98,98
Thermotogaceae,1,98,98,0,98,98,98
Chrysiogenaceae,1,87,87,0,87,87,87
Balneolaceae,2,86,43,1.4142135623731,43,44,42
Sneathiellaceae,1,79,79,0,79,79,79
Oscillochloridaceae,1,75,75,0,75,75,75
Limnochordaceae,1,51,51,0,51,51,51
